lsoa11cd,lsoa11nm,proportion_male,16_29_rate,30_44_rate,45_64_rate,violence_rate_2015,violence_rate_2016,violence_rate_2017,violence_rate_2018,violence_rate_2019
E01002010,Haringey 030C,0.4501201923076923,0.13161057692307693,0.2614182692307692,0.24338942307692307,12.620192307692308,14.98800959232614,15.285126396237507,12.79707495429616,14.669926650366747
E01002011,Haringey 030D,0.5029585798816568,0.18875739644970413,0.3136094674556213,0.22958579881656804,13.609467455621301,18.75732708089097,18.256772673733806,25.466893039049236,16.9971671388102
E01002013,Haringey 022A,0.4570446735395189,0.11134020618556702,0.33058419243986253,0.23505154639175257,13.745704467353951,10.31636863823934,12.327773749093547,12.903225806451612,22.366522366522368
E01002014,Haringey 020B,0.5096590909090909,0.21079545454545454,0.3403409090909091,0.20852272727272728,26.136363636363633,30.066815144766146,36.9757174392936,37.199124726477024,33.677349266702876
E01002015,Haringey 020C,0.48282442748091603,0.16793893129770993,0.25190839694656486,0.2703562340966921,17.811704834605596,21.76696542893726,15.131578947368421,24.43857331571995,22.008253094910593
E01002016,Haringey 028A,0.4741251848201084,0.20305569245933958,0.3198620009857072,0.23016264169541645,17.742730409068507,19.723865877712033,24.312896405919663,31.60040774719674,20.171457387796266
E01002017,Haringey 028B,0.5176037834997372,0.23804519180241723,0.3242249080399369,0.21492380451918025,19.442984760903837,29.75557917109458,35.16732841747022,26.12152186257808,26.918671248568156
E01002018,Haringey 020D,0.46915254237288134,0.16542372881355932,0.2542372881355932,0.2501694915254237,14.915254237288137,15.425888665325285,19.781718963165076,20.819341840161183,19.034670292318154
E01002019,Haringey 022B,0.49137931034482757,0.13660477453580902,0.23275862068965517,0.2937665782493369,5.305039787798409,8.592200925313946,9.602194787379974,17.49475157452764,9.129213483146067
E01002020,Haringey 021A,0.47975460122699387,0.17668711656441718,0.30368098159509205,0.23067484662576687,11.656441717791411,10.216346153846153,15.356265356265357,21.237864077669904,19.138755980861244
E01002021,Haringey 022C,0.4777777777777778,0.13529411764705881,0.2111111111111111,0.29477124183006537,3.2679738562091503,8.620689655172413,8.19112627986348,3.3156498673740056,4.054054054054054
E01002022,Haringey 021B,0.4893842887473461,0.18365180467091294,0.37048832271762205,0.1921443736730361,20.700636942675157,31.714568880079284,37.58654797230465,35.73130061934254,35.77981651376147
E01002023,Haringey 021C,0.4804054054054054,0.13513513513513514,0.21891891891891893,0.28175675675675677,10.135135135135135,8.67244829886591,13.157894736842104,9.49796472184532,11.724137931034482
E01002024,Haringey 022D,0.479108635097493,0.15250696378830084,0.25974930362116994,0.28133704735376047,11.142061281337048,12.073863636363637,18.51851851851852,4.504504504504505,7.518796992481203
E01002025,Haringey 021D,0.5015346838551259,0.15715162676488642,0.2234499693063229,0.26519337016574585,1.2277470841006752,2.4600246002460024,3.2278889606197545,3.1725888324873095,7.18954248366013
E01002026,Haringey 016A,0.4856512141280353,0.24724061810154527,0.2571743929359823,0.20916114790286977,93.81898454746137,65.34547402249598,113.37990327780763,110.93073593073593,78.96160086533261
E01002027,Haringey 010A,0.49053030303030304,0.27525252525252525,0.24431818181818182,0.21843434343434343,23.358585858585858,15.54726368159204,21.032504780114724,15.181518151815181,22.397891963109355
E01002028,Haringey 010B,0.4799786438868126,0.27068873465029364,0.2808328884143086,0.19594233849439402,19.754404698344903,24.64985994397759,31.60270880361174,27.62119503945885,31.25
E01002029,Haringey 016B,0.4881240911294232,0.2874454677653902,0.30780416868637905,0.17644207464857004,77.07222491517209,94.94567784600851,98.4503190519599,104.80943738656988,92.25776541492814
E01002030,Haringey 016C,0.5181655747468732,0.23823704586063132,0.31804645622394284,0.1840381179273377,16.676593210244192,34.35804701627487,31.954887218045112,27.528809218950066,26.751592356687897
E01002031,Haringey 016D,0.48026315789473684,0.2793522267206478,0.3142712550607287,0.1862348178137652,49.59514170040486,53.96039603960396,59.89847715736041,59.22077922077922,65.33192834562696
E01002032,Haringey 010C,0.4709212557900154,0.23829130211013896,0.27328872876994337,0.20329387545033453,18.528049408131757,19.88487702773417,22.187004754358163,24.771136241249327,23.98720682302772
E01002033,Haringey 010D,0.46893491124260356,0.23175542406311636,0.2593688362919132,0.2361932938856016,36.98224852071006,27.149321266968325,26.72147995889003,27.489626556016596,16.859852476290833
E01002034,Haringey 037A,0.48848142924306537,0.18006582040432534,0.29854254818993886,0.1922896097790315,67.23084156088387,67.83187682064086,74.68712151796528,76.89258818866429,59.74842767295598
E01002036,Haringey 002A,0.48736263736263735,0.22032967032967032,0.2175824175824176,0.23736263736263735,33.51648351648352,38.15995818086775,38.14002089864159,30.494216614090433,44.18726985796949
E01002037,Haringey 002B,0.5357316480311133,0.2017501215362178,0.2707826932425863,0.2231404958677686,54.93437044239184,43.62256993835941,51.609848484848484,38.00719054956343,54.94505494505494
E01002038,Haringey 037B,0.4888888888888889,0.2202020202020202,0.24848484848484848,0.20909090909090908,41.91919191919192,44.059405940594054,37.34643734643735,42.72230501738698,55.4730064388311
E01002039,Haringey 002C,0.4738480697384807,0.21481942714819427,0.21855541718555418,0.22602739726027396,35.491905354919055,29.914529914529915,35.359801488833746,31.02086858432036,29.328821206993794
E01002040,Haringey 002D,0.49715037264357737,0.2227093380096449,0.22490135905304692,0.20955721174923278,38.14116615519509,37.307032590051456,39.64194373401535,41.417591801878736,35.53299492385787
E01002041,Haringey 037C,0.4963579604578564,0.2133194588969823,0.27315296566077,0.19406867845993755,21.33194588969823,29.718456725755996,26.771653543307085,26.32964718272775,36.42206748794858
E01002042,Haringey 027A,0.5242346938775511,0.2461734693877551,0.31505102040816324,0.21619897959183673,37.62755102040816,50.53025577043044,56.81818181818181,68.40390879478828,62.0253164556962
